WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,249.0,0.137,101.6924,6.3094
49025097080000_490513,249.5,0.1403,99.021,6.3076
49025097080000_490513,250.0,0.1232,100.5992,6.39
49025097080000_490513,250.5,0.1073,105.9732,6.4436
49025097080000_490513,251.0,0.1109,105.9836,6.3664
49025097080000_490513,251.5,0.1282,103.3034,6.1538
49025097080000_490513,252.0,0.1339,100.4113,6.0029
49025097080000_490513,252.5,0.115,100.8904,5.9271
49025097080000_490513,253.0,0.0971,104.2579,5.8513
49025097080000_490513,253.5,0.0908,105.3688,5.8505
49025097080000_490513,254.0,0.0992,104.9329,5.8498
49025097080000_490513,254.5,0.1147,106.5223,5.8491
49025097080000_490513,255.0,0.129,107.8613,5.9985
49025097080000_490513,255.5,0.1287,106.0596,6.0728
49025097080000_490513,256.0,0.135,105.4246,6.1472
49025097080000_490513,256.5,0.1362,105.1834,6.0714
49025097080000_490513,257.0,0.1338,102.2966,5.8452
49025097080000_490513,257.5,0.1265,101.8814,5.7694
49025097080000_490513,258.0,0.1299,102.7867,5.6185
49025097080000_490513,258.5,0.1347,101.6677,5.5427
49025097080000_490513,259.0,0.1278,101.4678,5.4669
49025097080000_490513,259.5,0.1146,104.2185,5.4662
49025097080000_490513,260.0,0.1212,105.0669,5.6156
49025097080000_490513,260.5,0.1382,104.4074,5.8401
49025097080000_490513,261.0,0.1445,106.4963,5.9895
49025097080000_490513,261.5,0.1462,108.23,6.1389
49025097080000_490513,262.0,0.1208,105.2816,6.2883
49025097080000_490513,262.5,0.11,103.0924,6.3627
49025097080000_490513,263.0,0.123,102.6749,6.3617
49025097080000_490513,263.5,0.1226,104.7384,6.361
49025097080000_490513,264.0,0.1103,104.6468,6.2852
49025097080000_490513,264.5,0.0993,102.2183,6.1343
49025097080000_490513,265.0,0.1003,101.1547,5.9834
49025097080000_490513,265.5,0.108,103.2474,5.8325
49025097080000_490513,266.0,0.1087,102.8225,5.7567
49025097080000_490513,266.5,0.1072,100.294,5.6059
49025097080000_490513,267.0,0.1171,101.3011,5.53
49025097080000_490513,267.5,0.1189,103.9716,5.5293
49025097080000_490513,268.0,0.1096,104.7985,5.6036
49025097080000_490513,268.5,0.1111,102.994,5.7529
49025097080000_490513,269.0,0.1212,99.2579,5.9774
49025097080000_490513,269.5,0.1314,95.5797,6.127
49025097080000_490513,270.0,0.1179,94.7835,6.2764
49025097080000_490513,270.5,0.1191,97.4773,6.4258
49025097080000_490513,271.0,0.1293,95.7001,6.5752
49025097080000_490513,271.5,0.1155,97.0535,6.5743
49025097080000_490513,272.0,0.1089,99.0756,6.6486
49025097080000_490513,272.5,0.1119,97.7124,6.723
49025097080000_490513,273.0,0.1289,96.158,6.5721
49025097080000_490513,273.5,0.1361,94.8617,6.421
49025097080000_490513,274.0,0.1403,100.1935,6.2701
49025097080000_490513,274.5,0.1397,101.5909,6.0442
49025097080000_490513,275.0,0.1417,102.0487,5.8182
49025097080000_490513,275.5,0.1444,101.2757,5.6673
49025097080000_490513,276.0,0.1477,97.3295,5.5165
49025097080000_490513,276.5,0.1492,97.8748,5.3656
49025097080000_490513,277.0,0.1444,98.7809,5.3648
49025097080000_490513,277.5,0.1273,99.4225,5.289
49025097080000_490513,278.0,0.1189,105.8599,5.2883
49025097080000_490513,278.5,0.1171,105.3956,5.3626
49025097080000_490513,279.0,0.1297,104.3735,5.4368
49025097080000_490513,279.5,0.1216,106.9762,5.5862
49025097080000_490513,280.0,0.1186,103.2809,5.7356
49025097080000_490513,280.5,0.129,99.0419,5.8852
49025097080000_490513,281.0,0.126,101.5149,6.0346
49025097080000_490513,281.5,0.1188,103.0909,6.1839
49025097080000_490513,282.0,0.1179,105.114,6.3333
49025097080000_490513,282.5,0.1092,104.9016,6.4076
49025097080000_490513,283.0,0.1068,102.4537,6.557
49025097080000_490513,283.5,0.1083,104.7004,6.5586
